Linear Search:

		Searched	Index	Comparisons
		286.46		295	296
		68.56		296	297
		16.29		297	298
		196.78		298	299
		132.59		299	300
		33.63		300	301
		241.77		301	302
		316.08		302	303
		140.2		303	304
		159.15		304	305
		273.29		305	306
		42.35		306	307
		1.88		307	308
		79.17		308	309
		321.86		309	310
		256.37		310	311
		234.53		311	312
		70.39		312	313
		137.34		313	314
		132.4		314	315
		15.66		315	316
		211.29		316	317
		261.45		317	318
		137.61		318	319
		22.69		319	320
		0.01		-1	320
		900.02		-1	320
		5.51		-1	320
		156.71		-1	320
		156.81		-1	320
		899.99		-1	320


Binary Search:

		Searched	Index	Comparisons
		6.96		4	6
		54.62		46	13
		74.57		69	18
		222.68		214	24
		177.01		176	31
		146.39		148	40
		113.77		103	49
		9.6		-1	57
		197.13		197	65
		72.67		68	74
		88.93		85	82
		41.87		29	87
		273.77		265	95
		165.25		168	104
		247.15		240	112
		274.7		266	119
		254.1		247	127
		269.72		259	131
		105.24		95	139
		245.47		237	147
		217.33		210	155
		306		298	164
		249.8		244	170
		268.17		258	179
		45.36		34	185
		286.83		278	194
		192.92		190	202
		42.86		32	210
		194.64		193	219
		9.09		5	227
		158.13		163	236
		220.04		213	245
		156.99		160	253
		107.84		97	261
		89.42		86	268
		171.75		173	277
		108.34		99	281
		100.29		92	289
		153.35		155	297
		130.62		126	304
		266.78		257	312
		24.78		18	321
		286.94		279	324
		293.43		289	329
		182.27		181	336
		319.02		310	344
		112.26		102	352
		135.28		134	358
		15.95		10	366
		316.62		308	375
		47.19		38	384
		33.39		22	392
		133.24		131	399
		164.42		167	407
		18.1		12	415
		254.9		250	423
		85.56		82	431
		313.55		305	439
		208.37		204	445
		62.92		55	453
		186.11		183	462
		110.06		100	470
		248.52		242	478
		187.18		184	484
		201.07		201	491
		123.73		118	500
		298.81		294	506
		272.54		262	514
		327.56		318	522
		238.2		228	531
		102.37		93	540
		122.04		114	546
		290.67		285	554
		107.19		96	561
		115.2		107	569
		280.17		270	577
		92.27		89	582
		225.69		219	586
		135.64		136	593
		287.16		280	601
		210.12		205	609
		63.04		56	616
		194.93		195	624
		307.95		300	632
		192.43		189	637
		26.24		19	641
		114.75		106	648
		206.95		203	657
		0.03		1	664
		96.05		90	672
		199.38		200	680
		133.88		133	689
		92.1		88	698
		265.89		256	705
		123.77		119	708
		296.07		291	715
		20.23		13	724
		213.41		207	732
		123.63		117	740
		50.56		43	749
		46.27		37	757
		58.11		48	766
		238.03		227	774
		217.22		209	779
		305.97		297	787
		290.2		283	796
		72.35		67	804
		226.49		220	812
		67.87		61	819
		102.63		94	825
		74.79		70	833
		229		222	841
		128.85		123	850
		75.77		71	857
		240.69		231	864
		108.26		98	873
		82.68		78	882
		254.74		249	887
		187.2		185	895
		280.89		272	903
		56.35		47	911
		224.16		216	918
		116.77		109	923
		157.57		161	930
		289.01		282	938
		84.66		81	945
		58.53		50	953
		132.39		127	961
		283.99		275	969
		88.64		84	975
		182.84		182	983
		24.62		17	991
		83.75		80	999
		133.22		130	1007
		233.37		224	1013
		168.26		172	1021
		155.34		156	1028
		144.78		146	1035
		216.71		208	1044
		39.34		26	1051
		142.42		145	1059
		259.34		-1	1067
		66.12		60	1075
		288.85		281	1082
		180.55		180	1090
		194.57		192	1098
		91.76		87	1106
		122.09		115	1114
		116.38		108	1123
		322.32		-1	1132
		261.76		254	1138
		152		152	1146
		327.58		319	1155
		232.99		223	1164
		126.36		122	1172
		46.08		36	1179
		139.47		139	1183
		249.66		243	1192
		50.93		44	1198
		111.24		101	1205
		156.6		158	1214
		44.87		33	1223
		327.39		317	1230
		68.4		62	1238
		245.53		238	1247
		145.85		147	1255
		140.3		141	1262
		228.97		221	1269
		142.21		144	1275
		153.25		154	1281
		166.28		169	1286
		291.29		287	1294
		318.56		309	1299
		114.47		105	1307
		297.22		293	1316
		313.53		304	1322
		251.37		245	1330
		187.51		187	1338
		198.14		198	1347
		64.39		58	1356
		247.54		241	1363
		121.22		113	1372
		88.29		83	1381
		324.99		316	1390
		36.83		24	1396
		241.36		232	1404
		281.36		273	1413
		49.41		42	1421
		286.12		276	1428
		225.59		218	1437
		150.36		151	1444
		166.49		170	1452
		246.13		239	1454
		305.84		296	1461
		295.62		290	1469
		65.81		59	1473
		306.4		299	1477
		198.16		199	1480
		61.96		54	1486
		171.94		174	1492
		47.78		39	1495
		70.9		65	1503
		81.77		77	1511
		254.41		248	1520
		240.54		230	1528
		161.86		165	1536
		23.87		16	1543
		323.92		314	1549
		32.91		21	1556
		78.69		74	1562
		241.83		235	1570
		315.73		306	1577
		71.75		66	1584
		291.2		286	1591
		123.17		116	1598
		167.95		171	1605
		178.75		178	1614
		296.38		292	1622
		194.65		194	1628
		100.11		91	1635
		30.16		20	1643
		224.7		217	1651
		129.69		125	1659
		78.36		73	1668
		310.74		302	1676
		40.6		27	1684
		40.87		28	1693
		238.7		229	1698
		10.45		6	1705
		156.79		159	1706
		152.65		153	1715
		271.47		260	1723
		114.06		104	1729
		236.67		226	1736
		11.27		8	1745
		194.07		191	1752
		177.23		177	1760
		4.48		-1	1768
		191.41		188	1777
		187.29		186	1784
		5.25		2	1792
		148.18		150	1800
		119.87		111	1807
		283.87		274	1813
		136.93		-1	1821
		253.46		246	1828
		218.65		212	1836
		206.07		202	1844
		242.69		236	1851
		45.81		35	1859
		21.82		14	1865
		140.98		143	1874
		280.48		271	1881
		223.72		215	1889
		140.67		142	1897
		128.86		124	1903
		241.72		233	1912
		312.6		303	1921
		59.23		52	1929
		163.78		166	1936
		54.07		45	1944
		308.22		301	1951
		290.22		284	1957
		320.6		-1	1965
		60.8		53	1974
		262.5		255	1982
		217.91		211	1989
		58.18		49	1994
		39.11		25	2002
		320.47		311	2009
		158.02		162	2017
		272.69		263	2026
		126.24		121	2033
		276.7		267	2041
		272.01		261	2048
		42.16		30	2056
		304.92		295	2064
		176.72		175	2072
		278.17		269	2077
		155.6		157	2085
		178.81		179	2089
		48.77		41	2096
		133.53		132	2104
		125.07		120	2112
		276.83		268	2121
		291.51		288	2130
		58.59		51	2137
		118.7		110	2145
		63.46		57	2153
		147.5		149	2158
		78.78		75	2166
		83.38		79	2168
		119.9		112	2176
		48.05		40	2184
		76.03		72	2192
		286.46		277	2200
		68.56		63	2209
		16.29		11	2216
		196.78		196	2223
		132.59		129	2228
		33.63		23	2237
		241.77		234	2243
		316.08		307	2251
		140.2		140	2259
		159.15		164	2265
		273.29		264	2271
		42.35		31	2278
		1.88		-1	2286
		79.17		76	2293
		321.86		312	2301
		256.37		251	2308
		234.53		225	2316
		70.39		64	2322
		137.34		-1	2330
		132.4		128	2339
		15.66		9	2344
		211.29		206	2351
		261.45		252	2359
		137.61		137	2367
		22.69		15	2375
		0.01		-1	2383
		900.02		-1	2392
		5.51		-1	2401
		156.71		-1	2410
		156.81		-1	2418
		899.99		-1	2427
